date_time,temperature
26.06.2014_08:00:00,11.769168663024898
26.06.2014_09:00:00,11.738256072998043
26.06.2014_10:00:00,11.741977386474606
26.06.2014_11:00:00,12.996979942321772
26.06.2014_12:00:00,13.847508354187008
26.06.2014_13:00:00,16.323039245605464
26.06.2014_14:00:00,16.802522850036617
26.06.2014_15:00:00,17.568519821166987
26.06.2014_16:00:00,18.39280464172363
26.06.2014_17:00:00,18.4132649230957
26.06.2014_18:00:00,17.492573089599606
26.06.2014_19:00:00,16.26803531646728
26.06.2014_20:00:00,13.774855957031246
26.06.2014_21:00:00,13.151497764587399
26.06.2014_22:00:00,14.16343467712402
26.06.2014_23:00:00,13.095330924987788
27.06.2014_00:00:00,13.206984214782711
27.06.2014_01:00:00,12.041012001037593
27.06.2014_02:00:00,10.779760971069331
27.06.2014_03:00:00,10.7945038986206
27.06.2014_04:00:00,10.343450851440426
27.06.2014_05:00:00,10.179268722534175
27.06.2014_06:00:00,9.989058227539058
27.06.2014_07:00:00,12.307856559753414
27.06.2014_08:00:00,13.758769607543941
27.06.2014_09:00:00,15.598153762817379
27.06.2014_10:00:00,16.780052642822262
27.06.2014_11:00:00,18.029389915466304
27.06.2014_12:00:00,19.076078758239742
27.06.2014_13:00:00,20.476528434753412
27.06.2014_14:00:00,20.912418518066403
27.06.2014_15:00:00,21.784226455688472
27.06.2014_16:00:00,22.655659484863275
27.06.2014_17:00:00,21.876377563476556
27.06.2014_18:00:00,21.028008346557613
27.06.2014_19:00:00,20.249188117980953
27.06.2014_20:00:00,18.512667732238764
27.06.2014_21:00:00,16.292810516357417
27.06.2014_22:00:00,16.35595134735107
27.06.2014_23:00:00,16.081657218933103
28.06.2014_00:00:00,14.80174407958984
28.06.2014_01:00:00,15.341952438354488
28.06.2014_02:00:00,13.867423629760738
28.06.2014_03:00:00,12.469237289428706
28.06.2014_04:00:00,12.395297012329097
28.06.2014_05:00:00,14.614005203247066
28.06.2014_06:00:00,15.151492004394527
28.06.2014_07:00:00,17.397565040588375
28.06.2014_08:00:00,19.625673713684076
28.06.2014_09:00:00,21.2732783126831
28.06.2014_10:00:00,22.660522880554193
28.06.2014_11:00:00,23.512471084594722
28.06.2014_12:00:00,23.057922363281246
28.06.2014_13:00:00,23.975771141052242
28.06.2014_14:00:00,23.51652912139892
28.06.2014_15:00:00,23.79054553985595
28.06.2014_16:00:00,23.438253097534176
28.06.2014_17:00:00,23.360084686279293
28.06.2014_18:00:00,22.157295074462887
28.06.2014_19:00:00,21.041383552551263
28.06.2014_20:00:00,19.283906478881832
28.06.2014_21:00:00,15.92052642822265
28.06.2014_22:00:00,14.497360076904293
28.06.2014_23:00:00,14.487018852233883
29.06.2014_00:00:00,15.008631057739253
29.06.2014_01:00:00,15.33963703155517
29.06.2014_02:00:00,15.093478393554683
29.06.2014_03:00:00,14.668658523559566
29.06.2014_04:00:00,14.496040954589839
29.06.2014_05:00:00,14.412054519653315
29.06.2014_06:00:00,15.313428153991694
29.06.2014_07:00:00,16.11469429016113
29.06.2014_08:00:00,17.08436027526855
29.06.2014_09:00:00,17.893947296142574
29.06.2014_10:00:00,18.682247848510737
29.06.2014_11:00:00,18.548106994628903
29.06.2014_12:00:00,18.584966049194332
29.06.2014_13:00:00,19.312350921630856
